signal_id,signal_slug,signal_label,holding_days,config_path,run_dir,report_path,signal_rows,entry_signal_rows,exit_signal_rows,signal_symbols,first_signal_date,last_signal_date,orders,filled_orders,rejected_orders,trades,final_equity,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,cash_ratio
1,volume_breakout,量增突破：量能放大且股价低于 30 日均线,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_01_volume_breakout_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-5-board-sample-300d_20260504T155837910102Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-5-board-sample-300d_20260504T155837910102Z/report.html,518,259,259,94,2025-03-24,2026-04-29,439,360,79,360,878469.024842,-0.121530975158,-0.114708962628,0.223833122887,-0.229949490135,-0.428369941879,1.0
2,rising_price_pullback,上涨回调：短期上行、量能放大且靠近 10 日均线,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_02_rising_price_pullback_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-5-board-sample-300d_20260504T155839028290Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-5-board-sample-300d_20260504T155839028290Z/report.html,240,120,120,68,2025-02-21,2026-04-23,233,226,7,226,880375.370253,-0.119624629747,-0.105146529868,0.127941844398,-0.150114471459,-0.803989781808,1.0
3,weekly_volume_contraction,周线缩量：周量收缩企稳后首个日线放量反弹,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_03_weekly_volume_contraction_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-5-board-sample-300d_20260504T155840264969Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-5-board-sample-300d_20260504T155840264969Z/report.html,140,70,70,52,2025-04-08,2026-04-28,124,108,16,108,1064095.673963,0.064095673963,0.062559405653,0.109739725959,-0.057599414616,0.60741932304,1.0
4,bad_news_absorption,利空吸收：低位连续放量上涨并突破,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_04_bad_news_absorption_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-5-board-sample-300d_20260504T155840796116Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-5-board-sample-300d_20260504T155840796116Z/report.html,50,25,25,24,2025-12-04,2026-04-27,50,50,0,50,1035134.270026,0.035134270026,0.094879446806,0.116097212309,-0.061553518165,0.838367732361,1.0
5,strong_stock_breakout,强势股突破：20 日涨幅超 30% 后延续突破,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_05_strong_stock_breakout_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-5-board-sample-300d_20260504T155841860920Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-5-board-sample-300d_20260504T155841860920Z/report.html,256,128,128,59,2025-05-08,2026-04-29,245,234,11,234,676553.97782,-0.32344602218,-0.337673637957,0.28116461057,-0.371483047914,-1.323822535446,1.0
6,weekly_high_close_ma_turn,周线收高：宽幅周线收高后回踩上行 10 日均线,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_06_weekly_high_close_ma_turn_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-5-board-sample-300d_20260504T155842663671Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-5-board-sample-300d_20260504T155842663671Z/report.html,14,7,7,7,2025-02-25,2026-04-09,14,14,0,14,1009877.071708,0.009877071708,0.008667346827,0.03593784571,-0.033065045997,0.258025094255,1.0
7,gap_down_reversal,跳空反转：急跌后跳空低开并反转,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_07_gap_down_reversal_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-5-board-sample-300d_20260504T155843299383Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-5-board-sample-300d_20260504T155843299383Z/report.html,72,36,36,31,2025-02-14,2026-03-25,71,70,1,70,1017839.109696,0.017839109696,0.015271312907,0.119057609174,-0.093053212646,0.186093993837,1.0
8,two_weekly_up_volume,两周连涨：两根周阳且起涨周放量,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_08_two_weekly_up_volume_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-5-board-sample-300d_20260504T155844811321Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-5-board-sample-300d_20260504T155844811321Z/report.html,740,370,370,98,2025-03-14,2026-04-24,717,694,23,694,1069850.185408,0.069850185408,0.064066002653,0.254070905365,-0.246951918965,0.370953209365,1.0
9,sector_leaders,板块领涨：样本前两个标的同步走强,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_09_sector_leaders_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-5-board-sample-300d_20260504T155845235472Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-5-board-sample-300d_20260504T155845235472Z/report.html,4,2,2,2,2025-04-14,2025-04-21,4,4,0,4,1013501.24867,0.01350124867,0.013394230832,0.017010289684,-0.00896054863,0.790655347406,1.0
10,oversold_gravity_volume,超跌引力线：低于引力线且放量阳线,5,configs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_10_oversold_gravity_volume_hold_5.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-5-board-sample-300d_20260504T155845676437Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_5/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-5-board-sample-300d_20260504T155845676437Z/report.html,0,0,0,0,,,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,volume_breakout,量增突破：量能放大且股价低于 30 日均线,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_01_volume_breakout_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-20-board-sample-300d_20260504T155846702530Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-20-board-sample-300d_20260504T155846702530Z/report.html,396,198,198,90,2025-03-24,2026-04-27,277,158,119,158,1151347.113768,0.151347113768,0.141700445536,0.281886900921,-0.169985567598,0.616016546151,1.0
2,rising_price_pullback,上涨回调：短期上行、量能放大且靠近 10 日均线,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_02_rising_price_pullback_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-20-board-sample-300d_20260504T155847605836Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-20-board-sample-300d_20260504T155847605836Z/report.html,204,102,102,66,2025-02-21,2026-04-29,163,122,41,122,1171330.041356,0.171330041356,0.147853420281,0.180645444499,-0.120048781118,0.853492903888,1.0
3,weekly_volume_contraction,周线缩量：周量收缩企稳后首个日线放量反弹,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_03_weekly_volume_contraction_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-20-board-sample-300d_20260504T155848764651Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-20-board-sample-300d_20260504T155848764651Z/report.html,108,54,54,46,2025-04-08,2026-04-02,89,70,19,70,1111689.527279,0.111689527279,0.108955528443,0.174104083782,-0.225680819951,0.681078174235,1.0
4,bad_news_absorption,利空吸收：低位连续放量上涨并突破,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_04_bad_news_absorption_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-20-board-sample-300d_20260504T155849280426Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-20-board-sample-300d_20260504T155849280426Z/report.html,34,17,17,17,2025-12-04,2026-04-15,27,20,7,20,1001276.369788,0.001276369788,0.003353946224,0.200641456495,-0.10222463406,0.114885172044,1.0
5,strong_stock_breakout,强势股突破：20 日涨幅超 30% 后延续突破,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_05_strong_stock_breakout_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-20-board-sample-300d_20260504T155850151259Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-20-board-sample-300d_20260504T155850151259Z/report.html,162,81,81,58,2025-05-08,2026-04-27,138,114,24,114,920141.958112,-0.079858041888,-0.08401411838,0.367418152576,-0.304954234444,-0.056658608404,1.0
6,weekly_high_close_ma_turn,周线收高：宽幅周线收高后回踩上行 10 日均线,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_06_weekly_high_close_ma_turn_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-20-board-sample-300d_20260504T155850932988Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-20-board-sample-300d_20260504T155850932988Z/report.html,12,6,6,6,2025-02-25,2025-12-26,12,12,0,12,995488.211174,-0.004511788826,-0.003962662384,0.076423136649,-0.108323643869,-0.013964792929,1.0
7,gap_down_reversal,跳空反转：急跌后跳空低开并反转,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_07_gap_down_reversal_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-20-board-sample-300d_20260504T155851531597Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-20-board-sample-300d_20260504T155851531597Z/report.html,70,35,35,31,2025-02-14,2026-04-16,62,54,8,54,1081878.85452,0.08187885452,0.069783686092,0.24228814231,-0.214417985618,0.402758373169,1.0
8,two_weekly_up_volume,两周连涨：两根周阳且起涨周放量,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_08_two_weekly_up_volume_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-20-board-sample-300d_20260504T155852865898Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-20-board-sample-300d_20260504T155852865898Z/report.html,628,314,314,98,2025-03-14,2026-04-20,458,288,170,288,1087237.821608,0.087237821608,0.079960775055,0.304679713219,-0.234707218406,0.408531674287,1.0
9,sector_leaders,板块领涨：样本前两个标的同步走强,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_09_sector_leaders_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-20-board-sample-300d_20260504T155853292367Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-20-board-sample-300d_20260504T155853292367Z/report.html,4,2,2,2,2025-04-14,2025-05-15,4,4,0,4,1032793.949915,0.032793949915,0.032531574681,0.040889433534,-0.039474664469,0.803320763615,1.0
10,oversold_gravity_volume,超跌引力线：低于引力线且放量阳线,20,configs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_10_oversold_gravity_volume_hold_20.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-20-board-sample-300d_20260504T155853734303Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_20/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-20-board-sample-300d_20260504T155853734303Z/report.html,0,0,0,0,,,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
